VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,trip_duration
2,2017-03-01 00:00:19,2017-03-01 00:21:22,1,11.77788,1,N,232,7,1,24.0,0.5,0.5,7.59,0.0,0.3,34.84,21.05
2,2017-03-01 00:00:19,2017-03-01 00:06:21,1,1.54464,1,N,234,164,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,6.033333333333332
2,2017-03-01 00:00:20,2017-03-01 00:15:30,1,6.35555,1,N,164,75,1,14.5,0.5,0.5,1.5,0.0,0.3,17.3,15.166666666666664
2,2017-03-01 00:00:20,2017-03-01 00:15:58,1,5.1327099999999986,1,N,161,249,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8,15.633333333333335
2,2017-03-01 00:00:20,2017-03-01 00:09:15,2,3.66852,1,N,162,114,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96,8.916666666666666
1,2017-03-01 00:00:21,2017-03-01 00:07:57,1,2.0917,1,N,161,48,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,7.6
2,2017-03-01 00:00:21,2017-03-01 00:05:56,1,3.25018,1,N,166,244,1,8.0,0.5,0.5,2.79,0.0,0.3,12.09,5.583333333333332
2,2017-03-01 00:00:21,2017-03-01 00:13:19,5,4.6982800000000005,1,N,211,230,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,12.966666666666667
2,2017-03-01 00:00:22,2017-03-01 00:08:12,1,2.02734,1,N,114,224,1,7.5,0.5,0.5,1.0,0.0,0.3,9.8,7.833333333333334
2,2017-03-01 00:00:22,2017-03-01 00:04:32,6,1.88253,1,N,211,90,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16,4.166666666666667
2,2017-03-01 00:00:22,2017-03-01 00:11:06,5,3.74897,1,N,164,239,1,10.0,0.5,0.5,2.26,0.0,0.3,13.56,10.733333333333333
2,2017-03-01 00:00:22,2017-03-01 00:13:07,1,4.6661,1,N,236,229,1,12.0,0.5,0.5,2.66,0.0,0.3,15.96,12.75
2,2017-03-01 00:00:22,2017-03-01 00:09:58,1,3.8616,1,N,229,79,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,9.6
2,2017-03-01 00:00:22,2017-03-01 00:12:25,2,4.32821,1,N,249,43,1,11.5,0.5,0.5,2.56,0.0,0.3,15.36,12.05
1,2017-03-01 00:00:24,2017-03-01 00:10:23,1,3.7007,1,N,231,65,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,9.983333333333333
1,2017-03-01 00:00:24,2017-03-01 00:08:29,2,3.7007,1,N,79,229,1,9.0,0.5,0.5,2.05,0.0,0.3,12.35,8.083333333333334
2,2017-03-01 00:00:24,2017-03-01 00:12:36,1,3.34672,1,N,17,225,1,10.5,0.5,0.5,2.36,0.0,0.3,16.11,12.2
1,2017-03-01 00:00:25,2017-03-01 00:40:58,3,17.2163,1,N,68,72,2,36.5,0.5,0.5,0.0,0.0,0.3,37.8,40.55
1,2017-03-01 00:00:25,2017-03-01 00:12:54,1,7.2405,1,N,209,164,1,15.5,0.5,0.5,1.0,0.0,0.3,17.8,12.483333333333333
1,2017-03-01 00:00:26,2017-03-01 00:07:31,1,1.609,1,N,163,142,1,7.0,0.5,0.5,1.0,0.0,0.3,9.3,7.083333333333332
1,2017-03-01 00:00:26,2017-03-01 00:06:17,1,1.609,1,N,162,141,1,6.0,0.5,0.5,1.0,0.0,0.3,8.3,5.85
2,2017-03-01 00:00:26,2017-03-01 00:10:52,2,2.18824,1,N,162,48,1,8.5,0.5,0.5,2.2,0.0,0.3,12.0,10.433333333333334
2,2017-03-01 00:00:26,2017-03-01 00:03:28,1,0.9975799999999999,1,N,263,263,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,3.033333333333333
1,2017-03-01 00:00:27,2017-03-01 00:10:22,1,1.7699,1,N,230,163,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,9.916666666666666
1,2017-03-01 00:00:27,2017-03-01 00:06:04,1,1.4481,1,N,234,107,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,5.616666666666666
1,2017-03-01 00:00:27,2017-03-01 00:22:25,1,6.7578000000000005,1,N,249,162,1,17.0,0.5,0.5,3.65,0.0,0.3,21.95,21.966666666666665
2,2017-03-01 00:00:27,2017-03-01 00:41:17,1,15.752109999999998,1,N,137,226,2,31.5,0.5,0.5,0.0,0.0,0.3,32.8,40.833333333333336
2,2017-03-01 00:00:27,2017-03-01 00:17:07,4,10.21715,1,N,68,166,1,20.5,0.5,0.5,4.36,0.0,0.3,26.16,16.666666666666668
2,2017-03-01 00:00:27,2017-03-01 00:25:42,1,8.495519999999999,1,N,236,260,1,20.5,0.5,0.5,3.0,0.0,0.3,24.8,25.25
2,2017-03-01 00:00:28,2017-03-01 00:03:39,1,1.25502,1,N,238,151,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,3.183333333333333
2,2017-03-01 00:00:28,2017-03-01 00:03:36,1,0.6757799999999999,1,N,90,68,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,3.1333333333333333
2,2017-03-01 00:00:28,2017-03-01 00:01:41,1,0.65969,1,N,114,113,1,3.5,0.5,0.5,0.96,0.0,0.3,5.76,1.2166666666666666
1,2017-03-01 00:00:30,2017-03-01 00:05:25,2,2.0917,1,N,161,236,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,4.916666666666667
1,2017-03-01 00:00:31,2017-03-01 00:03:27,1,1.609,1,N,161,237,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,2.933333333333333
1,2017-03-01 00:00:31,2017-03-01 00:10:36,1,2.8962,1,N,107,249,1,9.0,0.5,0.5,2.05,0.0,0.3,12.35,10.083333333333334
2,2017-03-01 00:00:31,2017-03-01 00:04:51,1,2.9283799999999998,1,N,125,68,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96,4.333333333333333
2,2017-03-01 00:00:31,2017-03-01 00:14:17,2,5.40624,1,N,230,24,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,13.766666666666667
1,2017-03-01 00:00:33,2017-03-01 00:16:04,1,8.688600000000001,1,N,249,151,1,16.5,0.5,0.5,3.55,0.0,0.3,21.35,15.51666666666667
1,2017-03-01 00:00:33,2017-03-01 00:13:29,2,3.8616,1,N,186,229,1,11.0,0.5,0.5,2.45,0.0,0.3,14.75,12.933333333333335
2,2017-03-01 00:00:33,2017-03-01 00:11:39,1,4.36039,1,N,230,249,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16,11.1
2,2017-03-01 00:00:33,2017-03-01 00:07:41,1,2.4778599999999997,1,N,230,68,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96,7.133333333333334
1,2017-03-01 00:00:34,2017-03-01 00:04:54,1,0.8045,1,N,100,100,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,4.333333333333333
2,2017-03-01 00:00:34,2017-03-01 00:07:33,1,2.2686900000000003,1,N,88,232,1,7.0,0.5,0.5,2.49,0.0,0.3,10.79,6.9833333333333325
2,2017-03-01 00:00:34,2017-03-01 00:13:04,1,10.90902,1,N,87,262,2,20.0,0.5,0.5,0.0,0.0,0.3,21.3,12.5
2,2017-03-01 00:00:34,2017-03-01 00:26:51,2,10.104519999999999,1,N,113,228,2,23.5,0.5,0.5,0.0,0.0,0.3,24.8,26.28333333333333
2,2017-03-01 00:00:34,2017-03-01 00:08:05,1,2.2526,1,N,48,162,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,7.5166666666666675
2,2017-03-01 00:00:34,2017-03-01 00:16:10,1,5.1488000000000005,1,N,164,87,1,13.0,0.5,0.5,2.86,0.0,0.3,17.16,15.6
1,2017-03-01 00:00:35,2017-03-01 00:16:41,3,4.0225,1,N,163,140,1,12.5,0.5,0.5,2.75,0.0,0.3,16.55,16.1
1,2017-03-01 00:00:35,2017-03-01 00:11:21,1,3.0571,1,N,230,140,1,9.5,0.5,0.5,2.15,0.0,0.3,12.95,10.766666666666667
1,2017-03-01 00:00:35,2017-03-01 00:08:45,1,3.8616,1,N,163,239,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,8.166666666666668
2,2017-03-01 00:00:35,2017-03-01 00:05:13,2,2.1238799999999998,1,N,162,236,1,6.0,0.5,0.5,1.0,0.0,0.3,8.3,4.633333333333334
2,2017-03-01 00:00:35,2017-03-01 00:08:32,1,3.0249200000000003,1,N,230,234,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16,7.950000000000001
2,2017-03-01 00:00:35,2017-03-01 00:13:54,5,7.0796,1,N,164,74,1,14.0,0.5,0.5,2.0,0.0,0.3,17.3,13.316666666666665
2,2017-03-01 00:00:35,2017-03-01 00:11:19,1,3.00883,1,N,79,79,1,9.5,0.5,0.5,10.0,0.0,0.3,20.8,10.733333333333333
2,2017-03-01 00:00:35,2017-03-01 00:06:20,6,2.01125,1,N,234,186,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,5.75
1,2017-03-01 00:00:36,2017-03-01 00:25:08,2,9.0104,1,N,68,65,2,21.5,0.5,0.5,0.0,0.0,0.3,22.8,24.53333333333333
1,2017-03-01 00:00:36,2017-03-01 00:06:44,1,2.4135,1,N,230,43,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,6.133333333333334
2,2017-03-01 00:00:36,2017-03-01 00:09:54,1,5.45451,1,N,50,151,1,12.0,0.5,0.5,2.66,0.0,0.3,15.96,9.3
2,2017-03-01 00:00:36,2017-03-01 00:06:23,2,1.67336,1,N,161,246,1,6.0,0.5,0.5,1.0,0.0,0.3,8.3,5.783333333333332
1,2017-03-01 00:00:37,2017-03-01 00:15:04,1,4.827,1,N,161,79,1,12.5,0.5,0.5,2.0,0.0,0.3,15.8,14.45
2,2017-03-01 00:00:37,2017-03-01 00:11:36,1,4.440840000000001,1,N,148,80,1,11.5,0.5,0.5,2.08,0.0,0.3,14.88,10.983333333333333
2,2017-03-01 00:00:37,2017-03-01 00:19:05,5,7.674929999999999,1,N,229,255,2,17.5,0.5,0.5,0.0,0.0,0.3,18.8,18.466666666666665
1,2017-03-01 00:00:38,2017-03-01 00:09:17,2,4.0225,1,N,142,263,1,10.0,0.5,0.5,2.25,0.0,0.3,13.55,8.65
2,2017-03-01 00:00:39,2017-03-01 00:08:23,1,3.41108,1,N,142,151,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,7.733333333333333
2,2017-03-01 00:00:39,2017-03-01 00:41:49,1,32.003009999999996,1,N,211,124,1,56.5,0.5,0.5,11.56,0.0,0.3,69.36,41.16666666666666
1,2017-03-01 00:00:41,2017-03-01 00:11:05,1,3.5398,1,N,230,107,1,9.5,0.5,0.5,2.15,0.0,0.3,12.95,10.4
1,2017-03-01 00:00:41,2017-03-01 00:12:08,1,1.609,1,N,138,138,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,11.45
1,2017-03-01 00:00:41,2017-03-01 00:18:31,1,11.7457,1,Y,138,41,1,23.0,0.5,0.5,5.95,5.54,0.3,35.79,17.833333333333332
2,2017-03-01 00:00:41,2017-03-01 00:10:59,1,2.18824,1,N,230,161,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,10.3
2,2017-03-01 00:00:43,2017-03-01 00:08:52,6,2.2526,1,N,48,229,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,8.15
2,2017-03-01 00:00:43,2017-03-01 00:05:56,1,2.02734,1,N,50,142,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36,5.216666666666667
2,2017-03-01 00:00:43,2017-03-01 00:14:42,1,3.4754400000000003,1,N,37,255,1,11.5,0.5,0.5,2.56,0.0,0.3,15.36,13.983333333333333
1,2017-03-01 00:00:44,2017-03-01 00:38:15,1,28.3184,1,N,90,55,2,50.5,0.5,0.5,0.0,0.0,0.3,51.8,37.516666666666666
2,2017-03-01 00:00:44,2017-03-01 00:11:21,2,5.5027800000000004,1,N,234,140,1,11.5,0.5,0.5,3.2,0.0,0.3,16.0,10.616666666666667
2,2017-03-01 00:00:44,2017-03-01 00:11:26,1,5.0522599999999995,1,N,230,263,1,11.5,0.5,0.5,2.56,0.0,0.3,15.36,10.7
2,2017-03-01 00:00:44,2017-03-01 00:30:13,1,10.60331,1,N,236,129,2,24.5,0.5,0.5,0.0,0.0,0.3,25.8,29.48333333333333
2,2017-03-01 00:00:44,2017-03-01 00:36:25,5,10.44241,1,N,13,225,1,26.5,0.5,0.5,6.95,0.0,0.3,34.75,35.68333333333333
1,2017-03-01 00:00:45,2017-03-01 00:09:29,1,1.609,1,N,68,164,1,7.5,0.5,0.5,1.5,0.0,0.3,10.3,8.733333333333333
1,2017-03-01 00:00:45,2017-03-01 00:03:31,1,1.1263,1,N,79,107,1,4.5,0.5,0.5,1.15,0.0,0.3,6.95,2.7666666666666666
2,2017-03-01 00:00:45,2017-03-01 00:08:12,1,2.7353,1,N,162,79,1,8.0,0.5,0.5,3.0,0.0,0.3,12.3,7.45
1,2017-03-01 00:00:46,2017-03-01 00:18:13,1,4.9879,1,N,107,163,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,17.45
1,2017-03-01 00:00:46,2017-03-01 00:28:06,1,32.340900000000005,2,N,132,140,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34,27.33333333333333
2,2017-03-01 00:00:46,2017-03-01 00:19:08,1,8.125449999999999,1,N,144,142,1,17.5,0.5,0.5,4.7,0.0,0.3,23.5,18.366666666666667
2,2017-03-01 00:00:46,2017-03-01 00:10:15,1,2.81575,1,N,80,17,1,8.5,0.5,0.5,0.0,0.0,0.3,9.8,9.483333333333333
2,2017-03-01 00:00:46,2017-03-01 00:07:22,2,1.52855,1,N,68,186,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36,6.6
1,2017-03-01 00:00:47,2017-03-01 00:17:24,1,9.1713,1,N,164,256,1,19.0,0.5,0.5,3.0,0.0,0.3,23.3,16.616666666666667
1,2017-03-01 00:00:47,2017-03-01 00:07:30,1,2.4135,1,N,43,238,1,8.0,0.5,0.5,2.3,0.0,0.3,11.6,6.716666666666668
1,2017-03-01 00:00:48,2017-03-01 00:04:03,3,0.6436000000000001,1,N,75,74,1,4.5,0.5,0.5,0.0,0.0,0.3,5.8,3.25
2,2017-03-01 00:00:48,2017-03-01 00:13:15,3,4.11904,1,N,79,162,1,11.0,0.5,0.5,2.46,0.0,0.3,14.76,12.45
2,2017-03-01 00:00:49,2017-03-01 00:13:25,2,4.29603,1,N,163,249,1,11.0,0.5,0.5,2.46,0.0,0.3,14.76,12.6
1,2017-03-01 00:00:50,2017-03-01 00:29:39,1,11.4239,1,N,230,17,1,25.5,0.5,0.5,5.35,0.0,0.3,32.15,28.816666666666666
2,2017-03-01 00:00:50,2017-03-01 00:28:25,1,9.84708,1,N,211,145,1,23.0,0.5,0.5,4.86,0.0,0.3,29.16,27.58333333333333
2,2017-03-01 00:00:50,2017-03-01 00:19:40,1,14.851070000000002,1,N,138,170,1,27.5,0.5,0.5,4.08,5.54,0.3,38.42,18.83333333333333
2,2017-03-01 00:00:51,2017-03-01 00:04:45,1,1.4481,1,N,230,164,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,3.9
2,2017-03-01 00:00:51,2017-03-01 00:09:01,3,2.10779,1,N,80,256,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,8.166666666666668
1,2017-03-01 00:00:52,2017-03-01 00:20:56,1,14.1592,1,N,234,257,1,26.5,0.5,0.5,6.95,0.0,0.3,34.75,20.066666666666666
1,2017-03-01 00:00:52,2017-03-01 00:19:27,1,9.1713,1,N,234,41,1,18.5,0.5,0.5,4.95,0.0,0.3,24.75,18.58333333333333
2,2017-03-01 00:00:52,2017-03-01 00:09:15,1,4.1512199999999995,1,N,229,263,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96,8.383333333333335
1,2017-03-01 00:00:53,2017-03-01 00:16:38,1,10.6194,1,N,88,145,1,20.5,0.5,0.5,5.45,5.54,0.3,32.79,15.750000000000002
2,2017-03-01 00:00:53,2017-03-01 00:03:28,1,0.8205899999999999,1,N,237,43,1,4.0,0.5,0.5,0.26,0.0,0.3,5.56,2.583333333333333
1,2017-03-01 00:00:54,2017-03-01 00:02:59,1,0.9654,1,N,239,43,1,4.0,0.5,0.5,1.05,0.0,0.3,6.35,2.083333333333333
1,2017-03-01 00:00:54,2017-03-01 00:15:44,2,3.5398,1,N,249,170,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,14.833333333333336
1,2017-03-01 00:00:54,2017-03-01 00:06:22,1,2.2526,1,N,186,249,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,5.466666666666668
2,2017-03-01 00:00:54,2017-03-01 00:06:27,1,1.9468900000000002,1,N,50,186,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,5.55
2,2017-03-01 00:00:54,2017-03-01 00:18:53,1,11.11819,1,N,170,25,1,22.0,0.5,0.5,4.66,0.0,0.3,27.96,17.983333333333334
2,2017-03-01 00:00:54,2017-03-01 00:23:50,1,11.27909,1,N,100,65,1,24.0,0.5,0.5,5.06,0.0,0.3,30.36,22.93333333333333
2,2017-03-01 00:00:54,2017-03-01 00:06:54,1,2.05952,1,N,230,164,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36,6.0
2,2017-03-01 00:00:55,2017-03-01 00:10:11,6,4.77873,1,N,79,162,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,9.266666666666667
2,2017-03-01 00:00:56,2017-03-01 00:23:15,1,25.98535,1,N,132,255,1,43.5,0.5,0.5,13.44,0.0,0.3,58.24,22.316666666666666
2,2017-03-01 00:00:56,2017-03-01 00:13:44,1,4.5051999999999985,1,N,161,211,1,11.5,0.5,0.5,2.56,0.0,0.3,15.36,12.8
2,2017-03-01 00:00:56,2017-03-01 00:18:38,1,5.48669,1,N,48,141,1,14.5,0.5,0.5,3.16,0.0,0.3,18.96,17.7
1,2017-03-01 00:00:57,2017-03-01 00:32:08,1,26.0658,1,N,138,89,1,46.0,0.5,0.5,9.45,0.0,0.3,56.75,31.183333333333334
1,2017-03-01 00:00:57,2017-03-01 00:28:40,1,14.8028,1,N,138,162,1,30.0,0.5,0.5,9.0,0.0,0.3,40.3,27.716666666666665
2,2017-03-10 14:09:10,2017-03-10 14:24:38,1,4.56956,1,N,163,262,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8,15.466666666666667
2,2017-03-10 14:09:10,2017-03-10 14:13:37,1,0.93322,1,N,43,75,1,4.5,0.0,0.5,1.59,0.0,0.3,6.89,4.45
